HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
100610,RICE IN HUSK (PADDY OR ROUGH) 聽,0.0,22.03,0.0,201.67,0.0
100620,HUSKED (BROWN) RICE 聽,0.0,0.0,0.0,1.9,0.0
100630,SEMI/WHOLLY MILED RICE W/N POLISHED/GLAZED 聽,1059.99,695.47,1442.42,1654.17,1020.13
100640,BROKEN RICE 聽,0.0,0.0,0.0,100.0,0.0
Total,All Commodities,1059.99,717.5,1442.42,1957.74,1020.13
