HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
520100,COTTON NOT CARDED OR COMBED 聽,64757.53,220141.44,166718.06,238981.42,213019.2
Total,All Commodities,64757.53,220141.44,166718.06,238981.42,213019.2
