HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
530310,OTHER BAST FIBRES 聽,181314.74,148772.74,50823.86,32493.35,74568.47
530390,TOW AND WASTE OF JUTE AND OTHER TXTL BAST FBRS 聽,71.59,16.63,2162.67,11601.85,14473.6
Total,All Commodities,181386.33,148789.37,52986.53,44095.2,89042.07
