HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
100510,MAIZE SEED 聽,0.16,226.04,1.24,0.75,2.7
100590,OTHER MAIZE (CORN) 聽,3881.97,5128.23,13865.34,6028.12,181761.23
Total,All Commodities,3882.1299999999997,5354.2699999999995,13866.58,6028.87,181763.93000000002
