HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
120100,*SOYA BEANS W/N BROKEN 聽,121.0,1072.4,0.0,0.0,0.0
120110,SOYA BEANS WHETHER OR NOT BROKEN: SEED 聽,0.0,0.0,75.0,0.0,154.0
120190,SOYA BEANS- OTHER 聽,0.0,0.0,440.31,6311.56,20557.7
Total,All Commodities,121.0,1072.4,515.31,6311.56,20711.7
