HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
100610,RICE IN HUSK (PADDY OR ROUGH) 聽,91725.18,278356.84,183151.72,238845.1,113601.0
100620,HUSKED (BROWN) RICE 聽,16849.43,99911.67,69665.73,14472.76,19453.52
100630,SEMI/WHOLLY MILED RICE W/N POLISHED/GLAZED 聽,6648967.13,8901645.88,9732780.88,10715073.5,9243395.13
100640,BROKEN RICE 聽,418352.25,867976.06,916886.0,1008701.0,1133942.5
Total,All Commodities,7175893.99,10147890.450000001,10902484.33,11977092.36,10510392.15
