HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
070110,POTATO SEEDS FRESH OR CHILLED 聽,5668.83,1843.46,1734.09,833.99,818.07
070190,POTATOES FRESH OR CHILLED OTHER THAN SEEDS 聽,193085.84,163186.38,223712.47,376305.09,279650.47
Total,All Commodities,198754.66999999998,165029.84,225446.56,377139.08,280468.54
