HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
100110,*DURUM WHEAT 聽,314435.06,2344231.4,0.0,0.0,0.0
100111,DURUM WHEAT: SEED 聽,0.0,0.0,27343.2,0.0,123.0
100119,OTHER DURUM WHEAT EXCL SEED 聽,0.0,0.0,732369.44,261391.3,11451.15
100190,*OTHER WHEAT AND MESLIN 聽,426311.68,4170580.62,0.0,0.0,0.0
100191,WHEAT AND MESLIN SEED EXCL. DURUM WHEAT 聽,0.0,0.0,52973.01,51.49,1742.42
100199,OTHER WHEAT AND MESLIN 聽,0.0,0.0,4759322.74,2662607.41,653352.35
Total,All Commodities,740746.74,6514812.02,5572008.390000001,2924050.2,666668.9199999999
