HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
530310,OTHER BAST FIBRES 聽,28538.29,34096.14,44353.47,37650.58,25200.46
530390,TOW AND WASTE OF JUTE AND OTHER TXTL BAST FBRS 聽,625.59,54.97,153.28,176.58,39.95
Total,All Commodities,29163.88,34151.11,44506.75,37827.16,25240.41
