HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
120100,*SOYA BEANS W/N BROKEN 聽,37944.93,62813.58,0.0,0.0,0.0
120110,SOYA BEANS WHETHER OR NOT BROKEN: SEED 聽,0.0,0.0,9787.38,4382.25,812.87
120190,SOYA BEANS- OTHER 聽,0.0,0.0,152735.48,219491.3,185046.94
Total,All Commodities,37944.93,62813.58,162522.86000000002,223873.55,185859.81
