HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
520100,COTTON NOT CARDED OR COMBED 聽,1953056.55,1987340.47,1864134.7,1092989.28,1296926.98
Total,All Commodities,1953056.55,1987340.47,1864134.7,1092989.28,1296926.98
