HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
100510,MAIZE SEED 聽,18127.89,12384.43,24264.23,23074.55,24122.43
100590,OTHER MAIZE (CORN) 聽,3837593.25,4775944.0,3954803.0,2802798.75,673824.69
Total,All Commodities,3855721.14,4788328.43,3979067.23,2825873.3,697947.12
